"Count","Length","LongLength","Rank","SyncRoot","IsReadOnly","IsFixedSize","IsSynchronized"
"13","13","13","1","System.Object[]","False","True","False"
"13","13","13","1","System.Object[]","False","True","False"
"13","13","13","1","System.Object[]","False","True","False"
,,,,,,,
"13","13","13","1","System.Object[]","False","True","False"
,,,,,,,
"13","13","13","1","System.Object[]","False","True","False"
,,,,,,,
"13","13","13","1","System.Object[]","False","True","False"
"13","13","13","1","System.Object[]","False","True","False"
"13","13","13","1","System.Object[]","False","True","False"
